title,titleExt.es,titleExt.pt,languages.English,languages.Japanese,languages.Portuguese (Brazil),languages.Spanish (Latin Am),"languages.Chinese (Mandarin, PRC)",synopsis.long,synopsis.short,synopsis.medium,synopsisExt.en.long,synopsisExt.en.medium,synopsisExt.en.short,synopsisExt.es.long,synopsisExt.es.medium,synopsisExt.es.short,synopsisExt.pt.long,synopsisExt.pt.medium,synopsisExt.pt.short,synopsisExt.ru.long,synopsisExt.ru.medium,synopsisExt.ru.short,synopsisExt.fr.long,synopsisExt.fr.medium,synopsisExt.fr.short,synopsisExt.de.long,synopsisExt.de.medium,synopsisExt.de.short,maturity.bra,maturity.ca,maturity.irl,maturity.mex,maturity.usa,maturity.chl,maturity.per,maturity.col,maturity.aus,maturity.nzl,genres,studios,showUrl,showSlug,productionYear,releaseYear,quality,ratingUsTvMpaa,ratingPairs,venueId,versions,videoTypes,relevancy,description,id,type
Gleipnir,Gleipnir,Gleipnir,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,false,true,true,false,true,,,,true,,[],"[""BiliBili""]",/shows/gleipnir/,gleipnir,2020,2020,"{""quality"":""HD"",""height"":1080}",TVMA,"[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""CRRBR|A16""]",1071666,"[""Simulcast"",""Uncut""]","[""episode""]",1,"Shuichi Kagaya is an ordinary student until he learns he can transform into a monstrous dog with a revolver and a zipper down his back. Unsure where his powers have come from and whom to trust, he risks it all to save a beautiful classmate named Claire. He learns he's not the only one with a secret; she wants to use his monster's powers—no matter how brutal the violence or bloody the action.",GLP,Show
God Eater,God Eater,God Eater,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Sci Fi"",""Fantasy""]","[""Aniplex""]",/shows/god-eater/,god-eater,2015,2015,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1161229,"[""Uncut""]","[""episode""]",1,"In the early 2050s, unknown life-forms called Aragami begin the consumption of all life on Earth. In the face of an enemy completely immune to conventional weapons, humanity is driven toward extinction. But a single ray of hope remains following the development of God Arcs—living weapons that incorporate Oracle Cells. In a world ravaged by mad gods, these God Eaters fight a desperate war.",GOD,Show
Goemon,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,,,false,,,,,,"[""Live-Action"",""Action/Adventure""]","[""Wild Bunch""]",/shows/goemon/,goemon,2009,2009,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""TV-US|TV-PG""]",37868,"[""Uncut""]","[""movie""]",1,"The infamous ninja-turned-thief Goemon unearths a conspiracy that sends him on a warrior’s path to save poverty-stricken Japan from a corrupt ruler. Battles rage on in elaborate castles and vibrant fields, on snowy mountain caps and fiery ships illuminating a midnight ocean. Be mesmerized by the experience critics are praising as a “visual feast.”—San Diego Film Festival",GOE,Show
Golden Kamuy,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,true,true,false,true,,,,true,,"[""Action/Adventure""]","[""NBC Universal""]",/shows/golden-kamuy/,golden-kamuy,2020,2020,"{""quality"":""HD"",""height"":1080}",TVMA,"[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""DJCTQ|16""]",559417,"[""Simulcast"",""Uncut""]","[""episode""]",1,"Separated from Sugimoto, Asirpa now travels toward the Russian border, focused on discovering more about her and her father’s involvement with the coded tattoos. But Sugimoto is determined to find and protect Asirpa! Along the way, he’ll discover new people, new cultures rich with history, and an unforgiving terrain. Will Sugimoto and Asirpa survive their journeys and reunite?",GKM,Show
Good Luck Girl,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,,,false,,,,false,false,"[""Action/Adventure"",""Comedy""]","[""Sunrise Inc.""]",/shows/good-luck-girl/,good-luck-girl,2012,2012,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""TV-US|TV-PG"",""OFLC|M"",""FVLB|M""]",30845,"[""Uncut"",""Simulcast""]","[""episode""]",1,Ichiko gets lucky a lot—like a force field of happy accidents repel her from misfortune. There’s a reason life always goes her way: she’s bubbling over with happiness energy she unwittingly absorbs from everyone around her. It’s up to the poverty god Momiji to end Ichiko’s positivity consumption and restore the world’s balance—but Ichiko isn’t about to give up her good fortune without a fight!,BIN,Show
Good Luck! Ninomiya-kun,Good Luck! Ninomiya-kun,Good Luck! Ninomiya-kun,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,true,false,false,true,false,false,false,,,"[""Comedy"",""Fan Service""]","[""Kadokawa Pictures""]",/shows/good-luck-ninomiya-kun/,good-luck-ninomiya-kun,2007,2007,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|PS"",""TV-US|TV-MA"",""zw-movies|18"",""RTC|C"",""CRRBR|A16""]",231526,"[""Uncut""]","[""episode""]",1,"Shungo Ninomiya is a normal highschooler, but his life is about to get flipped upside down when the strangely magnetic Mayu Tsukimura and her brother are sent to live with him. Mayu may seem like your run-of-the-mill teenager, but she’s got a big secret: she’s a succubus with budding powers she can’t control. And to top it off, she’s terrified of the very thing that gives her life—MEN!",GLN,Show
Gosick,Gosick,Gosick,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,true,true,false,true,false,false,false,,,"[""Drama"",""Romance""]","[""Kadokawa Pictures""]",/shows/gosick/,gosick,2011,2011,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""CRRBR|A16"",""RTC|C""]",293292,"[""Uncut""]","[""episode""]",1,"In this 1920s tale of dark intrigue and romance, Japanese exchange student Kazuya Kujo strikes up a fast but uneasy friendship with the doll-like genius Victorique. Both outcasts, Victorique and Kujo explore the unsolved mysteries at their school. As they begin taking on more cases, a sinister plot begins to unfold in the shadows around them.",GOS,Show
Granblue Fantasy: The Animation,Granblue Fantasy: The Animation,Granblue Fantasy: The Animation,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,false,false,,false,,,,,,"[""Fantasy"",""Action/Adventure""]","[""Aniplex""]",/shows/granblue-fantasy-the-animation/,granblue-fantasy-the-animation,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",960165,"[""Uncut"",""Simulcast""]","[""episode"",""ova""]",1,"As the new captain of the Grandcypher airship, Gran will stop at nothing as they soar through the Sky Realm to find the Island of the Astrals and his father. But Gran, Vyrn (his reptilian friend), Lyria, and their new allies face countless obstacles and challenges along their journey. Bound together forever through a magical power, Gran and Lyria vow to protect each other from the evil Erste Empire.",GFA,Show
Gravion,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,[],"[""Gonzo""]",/shows/gravion/,gravion,2002,2002,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",3975492,"[""Uncut""]","[""episode""]",1,"It’s 2041 A.D. and extraterrestrial robots are invading the solar system to extinguish all existing life. Amidst the chaos, Eiji goes looking for his missing sister…on an army base of the wealthy Klein Sandman, creator of a secret army and a gravity-powered robot named Gravion designed to fight back. Now Eiji has a dilemma: piloting Gravion to protect Earth may mean never seeing his sister again.",GVN,Show
Gravitation,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,false,,,,false,false,"[""Romance"",""Comedy""]","[""Right Stuf, Inc""]",/shows/gravitation/,gravitation,2000,2000,"{""quality"":""HD"",""height"":1080}",TVPG,"[""TV-US|TV-PG"",""OFLC|PG"",""FVLB|PG""]",952300,"[""Uncut""]","[""episode""]",1,"Shuichi's latest lyrics flutter away and land at the feet of a stunning stranger that takes his breath away. The stranger happens to be the famous novelist Eiri Yuki, who crushes the young singer by telling him he has ""zero talent"". Now, Shuichi's so annoyed that he's managed to finish his song just so he can confront Yuki! But, are his actions really motivated by anger, or has he fallen in love?",GRV,Show
Gravitation: Lyrics of Love,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,false,,,,false,false,"[""Romance"",""Comedy""]","[""Right Stuf, Inc""]",/shows/gravitation-lyrics-of-love/,gravitation-lyrics-of-love,1999,1999,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""OFLC|M"",""FVLB|M""]",990584,"[""Uncut""]","[""ova""]",1,"BAD LUCK’s lead singer Shuichi is a total wreck. With deadlines for the band's next album looming, the normally energetic Shuichi has become listless and fallen into a writing slump. It's all because Yuki - the great love of his life - has suddenly become cold and distant. If the rest of the band doesn’t manage to break him out of his slump soon, it could mean the end of the band for good!",GLL,Show
"Grimgar, Ashes and Illusions",Grimgar,Grimgar,true,true,-,-,-,-,Sí,Sí,-,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,Sí,Sí,Sí,-,-,-,false,false,false,false,false,,,,,,"[""Action/Adventure"",""Fantasy""]","[""Anime Ltd""]",/shows/grimgar-ashes-and-illusions/,grimgar-ashes-and-illusions,2016,2016,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",93910,"[""Simulcast"",""Uncut""]","[""episode""]",1,"When Haruhiro awakens, he’s in the dark surrounded by people like himself who have no memory of where they came from or how they got there. As the darkness fades, a fantastic new world called “Grimgar” appears before them and the adventure begins.",GRI,Show
Ground Control to Psychoelectric Girl,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Comedy"",""Drama""]","[""NIS America""]",/shows/ground-control-to-psychoelectric-girl/,ground-control-to-psychoelectric-girl,2011,2011,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1099558,"[""Uncut""]","[""episode""]",1,"Makoto Niwa just moved inwith his aunt Meme with plans to live an adolescent boy’s dream. By tracking his actions and then assigning points to them, he will grade his own life. But once there, he discovers Meme has a secret daughter (and self-proclaimed alien) named Erio. It’s then he realizes his dream adolescent life won’t come true and begins a life of experiences that are out of this world.",GPG,Show
Guilty Crown,Guilty Crown,Guilty Crown,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,Sí,Sí,Sí,-,-,-,-,-,-,false,false,false,false,false,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""Aniplex Inc""]",/shows/guilty-crown/,guilty-crown,2011,2011,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",90156,"[""Uncut"",""Simulcast""]","[""episode""]",1,"In the near future, a meteorite carrying a foreign virus crashes in Japan, leading to a devastating nation-wide infection and total anarchy. Several years later, Shu—a teen with a special ability awakened by the Apocalypse Virus—meets a strange girl who incites him to join the struggle against a government organization’s robotic forces and a secret society whose goal remains shrouded in mystery.",GTC,Show
Gun X Sword,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""d-rights, Inc.""]",/shows/gun-x-sword/,gun-x-sword,2005,2005,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",96213,"[""Uncut""]","[""episode""]",1,"There’s a claw-fisted, genocidal maniac terrorizing the planet of endless illusion, and only Van, a tight-lipped loner in a jet black tuxedo, can bring the scoundrel to justice. Armed with his shape-shifting sword and a mechanized suit of armor, Van hunts the villain who murdered his one true love. With any luck, he’ll find the man he seeks before the sun sets on civilization.",GUN,Show
Gundam Build Divers,Gundam Build Divers,Gundam Build Divers,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,,,"[""Action/Adventure"",""Sci Fi""]","[""Sunrise""]",/shows/gundam-build-divers/,gundam-build-divers,2018,2018,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CRRBR|A12"",""CBSC|PG"",""RTE|Ch"",""RTC|B"",""TV-US|TV-PG"",""zw-movies|PG""]",833533,"[""Simulcast""]","[""episode""]",1,"A new game is sweeping cyberspace! Known as Gunpla Battle Nexus Online, or GBN, players dive into a vast world and use Gunpla models to complete special missions. Joining the game are middle school students Riku, Yukio, and Momoka, a promising bunch who don’t just build Gunpla—they build amazing adventures! What will happen when they come across a mysterious girl in the game?",GBD,Show
Gungrave,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""FlyingDog Inc.""]",/shows/gungrave/,gungrave,2003,2003,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",39361,"[""Uncut""]","[""episode""]",1,"Death doesn’t matter to Brandon Heat. Driven by vengeance, he’s back from the grave and bent on crippling Millennion, a massive mafia organization with legions of undead monster enforcers. Armed with his twin handguns—Ceruberus—and a coffin full of heavy weapons, Heat won’t stop until Millennion’s leader—and Brandon’s former best friend—Harry McDowel is destroyed.",GRA,Show
Gunslinger Girl,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Sci Fi"",""Action/Adventure""]","[""Marvelous Entertainment""]",/shows/gunslinger-girl/,gunslinger-girl,2003,2003,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",31187,"[""Uncut""]","[""episode""]",1,"The Social Welfare Agency saves the lives of terminal patients using cybernetic implants. Then it teaches them to kill. After surviving the slaughter of her family, young Henrietta awakens to her new life at the Agency with a rebuilt body and no memory. Teamed with Jose, who is responsible for turning her into the perfect assassin, Henrietta’s been given a second chance—but at what cost?",GG1,Show
Gunslinger Girl - Il Teatrino,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,true,true,"[""Sci Fi"",""Action/Adventure""]","[""Marvelous Entertainment""]",/shows/gunslinger-girl-il-teatrino/,gunslinger-girl-il-teatrino,2008,2008,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|RP16""]",31163,"[""Uncut""]","[""episode"",""ova""]",1,"The girls of the Social Welfare Agency—human wreckage rebuilt with cybernetic implants and trained to kill by the government. The oldest, Triela, pursues her targets with ferocious enthusiasm, especially Pinocchio, a knife-wielding boy raised as a terrorist assassin. Both have only vague recollections of what it meant to be real—and a brutal compulsion to be the last killer standing.",GG2,Show
