"title","titleExt.es","titleExt.pt","languages.English","languages.Japanese","languages.Portuguese (Brazil)","languages.Spanish (Latin Am)","languages.Chinese (Mandarin, PRC)","maturity.bra","maturity.ca","maturity.irl","maturity.mex","maturity.usa","maturity.chl","maturity.per","maturity.col","maturity.aus","maturity.nzl","genres","studios","showUrl","showSlug","productionYear","releaseYear","quality","ratingUsTvMpaa","ratingPairs","venueId","versions","videoTypes","relevancy","id","synopsis.long","synopsis.medium","synopsis.short","synopsisExt.de.long","synopsisExt.de.medium","synopsisExt.de.short","synopsisExt.en.long","synopsisExt.en.medium","synopsisExt.en.short","synopsisExt.es.long","synopsisExt.es.medium","synopsisExt.es.short","synopsisExt.fr.long","synopsisExt.fr.medium","synopsisExt.fr.short","synopsisExt.pt.long","synopsisExt.pt.medium","synopsisExt.pt.short","synopsisExt.ru.long","synopsisExt.ru.medium","synopsisExt.ru.short","type"
"Meiji Tokyo Renka","Meiji Tokyo Renka","Meiji Tokyo Renka","true","true","-","-","-",false,false,false,false,false,false,false,false,false,false,"[""Romance"",""Fantasy""]","[""TMS""]","/shows/meiji-tokyo-renka/","meiji-tokyo-renka",2019,2019,"{""quality"":""HD"",""height"":1080}","TV14","[""CRRBR|A14"",""CBSC|14"",""RTE|PS"",""RTC|B15"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|PG"",""FVLB|PG""]",816826,"[""Uncut"",""Simulcast""]","[""episode""]",1,"MTR","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"Michiko & Hatchin","","","true","true","-","-","-",,true,true,,true,,,,false,false,"[""Action/Adventure"",""Drama""]","[""Media Factory""]","/shows/michiko-hatchin/","michiko-hatchin",2008,2008,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|M"",""FVLB|M""]",40877,"[""Uncut""]","[""episode""]",1,"MNH","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Midnight occult civil servants","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Fantasy"",""Shoujo""]","[""Kadokawa""]","/shows/midnight-occult-civil-servants/","midnight-occult-civil-servants",2019,2019,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",853636,"[""Uncut"",""Simulcast""]","[""episode""]",1,"MOC","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Mieruko-chan","Mieruko-chan","Mieruko-chan","true","true","true","true","-",false,false,false,false,false,,,,false,true,"[""Comedy"",""Horror"",""Slice of Life""]","[""Kadokawa""]","/shows/mieruko-chan/","mieruko-chan",2021,2021,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",2637753,"[""Simulcast""]","[""episode""]",1,"MIE","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"Mikagura School Suite","Mikagura School Suite","Mikagura School Suite","true","true","-","-","-",false,false,,false,false,false,false,false,false,false,"[""Action/Adventure"",""Comedy""]","[""Media Factory""]","/shows/mikagura-school-suite/","mikagura-school-suite",2015,2015,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""TV-US|TV-14"",""CRRBR|A14"",""RTC|B15"",""OFLC|M"",""FVLB|M""]",38614,"[""Simulcast"",""Uncut""]","[""episode""]",1,"MSS","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"Million Arthur","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Action/Adventure"",""Fantasy""]","[""BiliBili""]","/shows/million-arthur/","million-arthur",2018,2018,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",852957,"[""Simulcast"",""Uncut""]","[""episode"",""ova""]",1,"HMA","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Minami-ke","","","-","true","-","-","-",,false,false,,false,,,,,,"[""Comedy"",""Slice of Life""]","[""Kodansha""]","/shows/minami-ke/","minami-ke",2007,2007,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""RTE|GA"",""TV-US|TV-PG"",""zw-movies|PG""]",108757,"[""Simulcast""]","[""episode""]",1,"MIK","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Miss Caretaker of Sunohara-sou","Miss Caretaker of Sunohara-sou","Miss Caretaker of Sunohara-sou","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Comedy"",""Slice of Life"",""Fan Service""]","[""bilibili""]","/shows/miss-caretaker-of-sunohara-sou/","miss-caretaker-of-sunohara-sou",2018,2018,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",923623,"[""Uncut"",""Simulcast""]","[""episode""]",1,"SKS","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"Miss Kobayashi's Dragon Maid","","","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Comedy"",""Fantasy"",""Slice of Life""]","[""Asahi Broadcasting Corp.""]","/shows/miss-kobayashis-dragon-maid/","miss-kobayashis-dragon-maid",2017,2017,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""DJCTQ|14""]",268305,"[""Uncut"",""Simulcast""]","[""episode""]",1,"KDM","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","Show"
"Mob Psycho 100","","","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[]","[""WB Japan""]","/shows/mob-psycho-100/","mob-psycho-100",2020,2020,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",186306,"[""Simulcast"",""Uncut""]","[""episode"",""ova""]",1,"MOB","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Mobile Suit Gundam","Mobile Suit Gundam","Mobile Suit Gundam","true","true","-","-","-",false,false,false,false,false,,,,false,false,"[""Action/Adventure"",""Drama""]","[""Sunrise""]","/shows/mobile-suit-gundam/","mobile-suit-gundam",1979,1979,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|PG"",""FVLB|PG"",""RTC|B15"",""CRRBR|A14""]",1278644,"[""Uncut""]","[""episode""]",1,"MGM","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","Sí","Sí","-","-","-","Show"
"Mobile Suit Gundam Narrative","","","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Drama""]","[""Sunrise""]","/shows/mobile-suit-gundam-narrative/","mobile-suit-gundam-narrative",2018,2018,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1723246,"[""Uncut""]","[""movie""]",1,"MGN","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Mobile Suit Gundam SEED","Mobile Suit Gundam SEED","Mobile Suit Gundam SEED","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Drama""]","[""Sunrise""]","/shows/mobile-suit-gundam-seed/","mobile-suit-gundam-seed",2002,2002,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""CRRBR|A14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1277119,"[""Uncut""]","[""episode""]",1,"MSE","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","Sí","Sí","-","-","-","-","Sí","Sí","-","-","-","Show"
"Mobile Suit Gundam UC (Unicorn)","Mobile Suit Gundam UC (Unicorn)","Mobile Suit Gundam UC (Unicorn)","true","true","-","-","-",false,false,false,false,false,,,,false,false,"[""Action/Adventure"",""Drama""]","[""Sunrise""]","/shows/mobile-suit-gundam-uc-unicorn/","mobile-suit-gundam-uc-unicorn",2012,2012,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|G"",""RTC|B15"",""CRRBR|A14""]",1277242,"[""Uncut""]","[""episode""]",1,"MGU","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","Sí","Sí","-","-","-","-","Sí","Sí","-","-","-","Show"
"Mobile Suit Gundam Wing","","","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Drama""]","[""Sunrise""]","/shows/mobile-suit-gundam-wing/","mobile-suit-gundam-wing",1995,1995,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""CRRBR|A14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1723247,"[""Uncut""]","[""episode""]",1,"MSW","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Mobile Suit Zeta Gundam","","","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Drama""]","[""Sunrise""]","/shows/mobile-suit-zeta-gundam-2/","mobile-suit-zeta-gundam-2",1985,1985,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1758473,"[""Uncut""]","[""episode""]",1,"MSZ","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Mongolian Chop Squad","","","true","true","-","-","-",,true,true,,true,,,,true,,"[""Comedy"",""Romance""]","[""Kodansha""]","/shows/mongolian-chop-squad/","mongolian-chop-squad",2004,2004,"{""quality"":""HD"",""height"":1080}","TVMA","[""OFLC|R18+"",""CBSC|18"",""RTE|MA"",""FVLB|R18"",""TV-US|TV-MA"",""zw-movies|18""]",43334,"[""Uncut""]","[""episode""]",1,"BEK","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Monogatari Second Season","Monogatari Second Season","Monogatari Second Season","-","true","-","-","-",false,true,true,false,true,,,,true,,"[""Psychological"",""Romance"",""Fan Service""]","[""Aniplex""]","/shows/monogatari-second-season/","monogatari-second-season",2013,2013,"{""quality"":""HD"",""height"":1080}","TVMA","[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""CRRBR|A16""]",1052942,"[""Uncut""]","[""episode""]",1,"MON","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","Sí","Sí","-","-","-","-","Sí","Sí","-","-","-","Show"
"Monster Hunter Stories Ride On","Monster Hunter Stories Ride On","Monster Hunter Stories Ride On","true","true","-","-","-",false,false,false,false,false,false,false,false,false,false,"[""Action/Adventure"",""Fantasy""]","[""Fuji Creative""]","/shows/monster-hunter-stories-ride-on/","monster-hunter-stories-ride-on",2016,2016,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG"",""CRRBR|A12"",""RTC|B"",""OFLC|PG"",""FVLB|PG""]",155585,"[""Simulcast"",""Uncut""]","[""episode""]",1,"MRO","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"MoonPhase","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Comedy"",""Romance""]","[""FlyingDog Inc.""]","/shows/moonphase/","moonphase",2004,2004,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""RTE|GA"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|M"",""FVLB|M""]",39915,"[""Uncut""]","[""episode""]",1,"MOO","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Moriarty the Patriot","Moriarty the Patriot","Moriarty the Patriot","true","true","true","true","-",false,false,false,false,false,,,,false,true,"[""Drama"",""Sci Fi"",""Horror"",""Psychological""]","[""Bandai""]","/shows/moriarty-the-patriot/","moriarty-the-patriot",2020,2020,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""DJCTQ|14""]",1174922,"[""Uncut"",""Simulcast""]","[""episode""]",1,"MTP","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Show"
"Muhyo & Roji's Bureau of Supernatural Investigation","","","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Drama"",""Shounen""]","[""SPEJ""]","/shows/muhyo-rojis-bureau-of-supernatural-investigation/","muhyo-rojis-bureau-of-supernatural-investigation",2018,2018,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""DJCTQ|14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1123326,"[""Uncut"",""Simulcast""]","[""episode""]",1,"MRI","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Show"
"Mulan: Rise of a Warrior","","","true","true","-","-","-",,true,true,,true,,,,,,"[""Live-Action"",""Action/Adventure""]","[""Maasmond II Productions""]","/shows/mulan-rise-of-a-warrior/","mulan-rise-of-a-warrior",2009,2009,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",87052,"[""Uncut""]","[""movie""]",1,"MUL","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Murder Princess","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Action/Adventure"",""Fantasy""]","[""Marvelous Entertainment""]","/shows/murder-princess/","murder-princess",2007,2007,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",39495,"[""Uncut""]","[""ova""]",1,"MUR","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Mushi-Shi","","","true","true","-","-","-",,false,,,false,,,,false,false,"[""Slice of Life"",""Action/Adventure""]","[""Kodansha""]","/shows/mushi-shi/","mushi-shi",2005,2005,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""TV-US|TV-PG"",""OFLC|M"",""FVLB|M""]",31415,"[""Uncut""]","[""episode""]",1,"MUS","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Mushoku Tensei: Jobless Reincarnation","Mushoku Tensei: Jobless Reincarnation","Mushoku Tensei: Jobless Reincarnation P2","true","true","true","true","-",false,true,true,false,true,,,,true,,"[""Action/Adventure"",""Fantasy""]","[""Hakuhodo""]","/shows/mushoku-tensei-jobless-reincarnation-p2/","mushoku-tensei-jobless-reincarnation-p2",2021,2021,"{""quality"":""HD"",""height"":1080}","TVMA","[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""DJCTQ|16""]",1311428,"[""Simulcast"",""Uncut""]","[""episode"",""ova""]",1,"MJR","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Show"
"My Bride is a Mermaid","","","true","true","-","-","-",,false,,,false,,,,true,true,"[""Comedy"",""Romance""]","[""TV Tokyo Medianet Inc.""]","/shows/my-bride-is-a-mermaid/","my-bride-is-a-mermaid",2007,2007,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""TV-US|TV-PG"",""OFLC|MA15+"",""FVLB|RP16""]",93940,"[""Uncut""]","[""episode""]",1,"MBM","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"My Dress-Up Darling","My Dress-Up Darling","My Dress-Up Darling","true","true","true","true","-",false,true,true,false,true,,,,true,,"[""Comedy"",""Romance"",""Slice of Life""]","[""Aniplex""]","/shows/my-dress-up-darling/","my-dress-up-darling",2022,2022,"{""quality"":""HD"",""height"":1080}","TVMA","[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""CRRBR|A16""]",4027354,"[""Simulcast""]","[""episode""]",1,"MDD","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"My First Girlfriend is a Gal","","","true","true","-","-","-",,true,true,,true,,,,true,true,"[""Fan Service"",""Comedy""]","[""Kadokawa Pictures""]","/shows/my-first-girlfriend-is-a-gal/","my-first-girlfriend-is-a-gal",2017,2017,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|RP16""]",500478,"[""Simulcast"",""Uncut""]","[""episode"",""ova""]",1,"MFG","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"My Hero Academia","My Hero Academia","My Hero Academia","true","true","true","true","-",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Shounen""]","[""Toho Co Ltd""]","/shows/my-hero-academia/","my-hero-academia",2016,2016,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",124389,"[""Uncut"",""Simulcast""]","[""episode"",""ova"",""movie""]",1,"MHA","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"My Roommate is a Cat","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Comedy"",""Slice of Life""]","[""NBC Universal""]","/shows/my-roommate-is-a-cat/","my-roommate-is-a-cat",2019,2019,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",810830,"[""Uncut"",""Simulcast""]","[""episode""]",1,"MRM","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"My Senpai Is Annoying","My Senpai Is Annoying","My Senpai Is Annoying","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Comedy"",""Romance"",""Slice of Life""]","[""King Records""]","/shows/my-senpai-is-annoying/","my-senpai-is-annoying",2021,2021,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",2794128,"[""Simulcast""]","[""episode""]",1,"MSA","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"My-HiME","","","true","true","-","-","-",,,,,,,,,,,"[""Action/Adventure"",""Comedy"",""Drama"",""Fantasy"",""Romance""]","[""Sunrise Inc.""]","/shows/my-hime/","my-hime",2004,2004,"{""quality"":""HD"",""height"":1080}",,"[]",532290,"[""Uncut""]","[""episode""]",1,"MYH","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"My-Otome","","","true","true","-","-","-",,,,,,,,,,,"[""Action/Adventure"",""Comedy"",""Drama"",""Fantasy"",""Romance""]","[""Sunrise Inc.""]","/shows/my-otome/","my-otome",2005,2005,"{""quality"":""HD"",""height"":1080}",,"[]",532293,"[""Uncut""]","[""episode"",""ova""]",1,"MYO","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Myriad Colors Phantom World","","","true","true","-","-","-",,,,,,,,,,,"[""Action/Adventure"",""Comedy"",""Fan Service"",""Fantasy"",""Slice of Life""]","[""ABC Asahi""]","/shows/myriad-colors-phantom-world/","myriad-colors-phantom-world",2016,2016,"{""quality"":""HD"",""height"":1080}",,"[]",516138,"[""Uncut""]","[""episode"",""ova""]",1,"MCP","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"NANBAKA","","","true","true","-","-","-",,false,false,,false,,,,true,true,"[""Action/Adventure"",""Comedy""]","[""Tokuma Japan Comm""]","/shows/nanbaka/","nanbaka",2016,2016,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|MA15+"",""FVLB|RP16""]",185706,"[""Uncut"",""Simulcast""]","[""episode"",""ova""]",1,"NAN","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"NEW GAME!","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Comedy"",""Slice of Life""]","[""Kadokawa Pictures""]","/shows/new-game/","new-game",2016,2016,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",478895,"[""Uncut"",""Simulcast""]","[""episode""]",1,"NWG","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"NEWS: The Future Is On Crunchyroll!","ÚLTIMA HORA: ¡Nos mudamos a Crunchyroll! ","BOAS NOTÍCIAS: Estamos Indo Para a Crunchyroll!","true","-","true","true","-",false,false,,false,false,,,,false,false,"[]","[""Crunchyroll""]","/shows/news-the-future-is-on-crunchyroll/","news-the-future-is-on-crunchyroll",2022,2022,"{""quality"":""HD"",""height"":1080}","TVPG","[""TV-US|TV-PG"",""CBSC|PG"",""zw-movies|PG"",""RTE|G"",""OFLC|G"",""FVLB|G"",""RTC|C"",""CRRBR|A10""]",4115226,"[""Uncut""]","[""episode""]",1,"CRU","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"NO-RIN","No-Rin","No-Rin","true","true","-","-","-",false,true,,false,true,false,false,false,false,false,"[""Comedy"",""Slice of Life""]","[""Showgate""]","/shows/no-rin/","no-rin",2014,2014,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""TV-US|TV-MA"",""RTC|C"",""CRRBR|A16"",""OFLC|M"",""FVLB|M""]",82582,"[""Simulcast"",""Uncut""]","[""episode""]",1,"NRN","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"Nabari no Ou","","","true","true","-","-","-",,false,,,false,,,,true,false,"[""Action/Adventure"",""Comedy""]","[""d-rights, Inc.""]","/shows/nabari-no-ou/","nabari-no-ou",2008,2008,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""TV-US|TV-PG"",""OFLC|MA15+"",""FVLB|M""]",84260,"[""Uncut""]","[""episode""]",1,"NAB","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Nanana's Buried Treasure","Nanana's Buried Treasure","Nanana's Buried Treasure","-","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Comedy""]","[""Aniplex""]","/shows/nananas-buried-treasure/","nananas-buried-treasure",2014,2014,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1161187,"[""Uncut""]","[""episode""]",1,"NBT","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"Naruto","","","true","-","-","-","-",false,false,false,false,false,,,,false,true,"[""Action/Adventure""]","[""Viz""]","/shows/naruto-2/","naruto-2",2002,2002,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""CRRBR|A14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1118037,"[""Uncut""]","[""movie""]",1,"NTO","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Natsume's Book of Friends","","","-","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Drama"",""Comedy""]","[]","/shows/natsumes-book-of-friends/","natsumes-book-of-friends",2008,2008,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""DJCTQ|14""]",1407045,"[""Uncut"",""Simulcast""]","[""episode"",""ova""]",1,"NFB","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Nekomonogatari Black","","","-","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Fan Service"",""Psychological"",""Romance""]","[""Aniplex""]","/shows/nekomonogatari-black/","nekomonogatari-black",2012,2012,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1052593,"[""Uncut""]","[""episode""]",1,"NEK","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
