title,titleExt.es,titleExt.pt,languages.English,languages.Japanese,languages.Portuguese (Brazil),languages.Spanish (Latin Am),"languages.Chinese (Mandarin, PRC)",synopsis.long,synopsis.short,synopsis.medium,synopsisExt.en.long,synopsisExt.en.medium,synopsisExt.en.short,synopsisExt.es.long,synopsisExt.es.medium,synopsisExt.es.short,synopsisExt.pt.long,synopsisExt.pt.medium,synopsisExt.pt.short,synopsisExt.ru.long,synopsisExt.ru.medium,synopsisExt.ru.short,synopsisExt.fr.long,synopsisExt.fr.medium,synopsisExt.fr.short,synopsisExt.de.long,synopsisExt.de.medium,synopsisExt.de.short,maturity.bra,maturity.ca,maturity.irl,maturity.mex,maturity.usa,maturity.chl,maturity.per,maturity.col,maturity.aus,maturity.nzl,genres,studios,showUrl,showSlug,productionYear,releaseYear,quality,ratingUsTvMpaa,ratingPairs,venueId,versions,videoTypes,relevancy,id,type
Eureka Seven,Eureka Seven  Hi-Evolution,Eureka Seven Hi-Evolution,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Sci Fi""]","[""Bandai Visual Company""]",/shows/eureka-seven/,eureka-seven,2005,2005,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|14""]",17896,"[""Uncut""]","[""movie"",""episode""]",1,EU7,Show
Eureka Seven AO,Eureka Seven AO,Eureka Seven AO,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,"[""Action/Adventure"",""Sci Fi""]","[""Bandai Visual Company""]",/shows/eureka-seven-ao/,eureka-seven-ao,2012,2012,"{""quality"":""HD"",""height"":1080}",TV14,"[""CRRBR|A14"",""CBSC|14"",""RTE|PS"",""RTC|B15"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",18531,"[""Simulcast"",""Uncut""]","[""episode""]",1,EUR,Show
Excel Saga,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,,,"[""Sci Fi"",""Comedy""]","[""FlyingDog Inc.""]",/shows/excel-saga/,excel-saga,1999,1999,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",30715,"[""Uncut""]","[""episode""]",1,EXL,Show
FLCL,,,true,true,-,-,-,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,,,false,,,,false,false,"[""Action/Adventure"",""Comedy"",""Sci Fi"",""Drama"",""Romance""]","[""Production IG""]",/shows/flcl/,flcl,2000,2000,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""TV-US|TV-14"",""zw-movies|15"",""OFLC|PG"",""FVLB|PG""]",29941,"[""Uncut""]","[""episode""]",1,FLC,Show
FLOW,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,"[""Live-Action""]",[],/shows/flow/,flow,2020,2020,"{""quality"":""HD"",""height"":1080}",TV14,"[""CRRBR|A14"",""CBSC|14"",""RTE|PS"",""RTC|B15"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|G"",""FVLB|G""]",1251450,"[""Simulcast""]","[""special""]",1,FLO,Show
Fafner,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Action/Adventure"",""Sci Fi""]","[""Production IG""]",/shows/fafner/,fafner,2004,2004,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",37879,"[""Uncut""]","[""episode"",""movie""]",1,FAF,Show
Fairy Tail,Fairy Tail,Fairy Tail,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,,,false,false,,,,false,false,"[""Action/Adventure"",""Fantasy"",""Shounen""]","[""Kodansha""]",/shows/fairy-tail/,fairy-tail,2009,2009,"{""quality"":""HD"",""height"":1080}",TV14,"[""CRRBR|A14"",""TV-US|TV-14"",""RTC|B15"",""OFLC|M"",""FVLB|M""]",24351,"[""Uncut"",""Simulcast""]","[""episode"",""movie""]",1,FTL,Show
Fairy gone,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,false,false,false,false,false,,,,,,"[""Action/Adventure"",""Fantasy""]","[""Toho""]",/shows/fairy-gone/,fairy-gone,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",847428,"[""Uncut"",""Simulcast""]","[""episode""]",1,FRG,Show
Fantasia Sango - Realm of Legends,Fantasia Sango - Realm of Legends,Fantasia Sango - Realm of Legends,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Fantasy""]","[""Nada Holdings""]",/shows/fantasia-sango-realm-of-legends/,fantasia-sango-realm-of-legends,2022,2022,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",4034801,"[""Simulcast""]","[""episode""]",1,FRL,Show
Fantastic Detective Labyrinth,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,false,,,,,,"[""Action/Adventure"",""Fantasy""]","[""Right Stuf, Inc""]",/shows/fantastic-detective-labyrinth/,fantastic-detective-labyrinth,2007,2007,"{""quality"":""HD"",""height"":1080}",TVPG,"[""TV-US|TV-PG""]",1058865,"[""Uncut""]","[""episode""]",1,FDL,Show
Fate/Grand Order - First Order -,Fate/Grand Order - First Order -,Fate/Grand Order - First Order -,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Action/Adventure"",""Fantasy""]","[""Aniplex""]",/shows/fategrand-order-first-order-/,fategrand-order-first-order-,2016,2016,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",956459,"[""Uncut""]","[""movie""]",1,FGF,Show
Fate/Grand Order -MOONLIGHT/LOSTROOM-,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Action/Adventure"",""Fantasy""]","[""Aniplex""]",/shows/fategrand-order-moonlightlostroom-/,fategrand-order-moonlightlostroom-,2017,2017,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",1018013,"[""Simulcast""]","[""episode""]",1,FML,Show
Fate/Grand Order Absolute Demonic Front: Babylonia,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,false,false,,false,,,,,,"[""Action/Adventure"",""Fantasy""]","[""Aniplex""]",/shows/fategrand-order-absolute-demonic-front-babylonia/,fategrand-order-absolute-demonic-front-babylonia,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",929777,"[""Simulcast""]","[""episode""]",1,FGO,Show
Fate/Grand Order Final Singularity Grand Temple of Time: Solomon,Fate/Grand Order Final Singularity Grand Temple of Time: Solomon,Fate/Grand Order Final Singularity Grand Temple of Time: Solomon,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Fantasy""]","[""Aniplex""]",/shows/fategrand-order-final-singularity-grand-temple-of-time-solomon/,fategrand-order-final-singularity-grand-temple-of-time-solomon,2021,2021,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",4107549,"[""Simulcast""]","[""movie""]",1,FGS,Show
Fate/Zero,Fate/Zero,Fate/Zero,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,Sí,Sí,Sí,-,-,-,Sí,Sí,Sí,,false,false,,false,,,,,,"[""Action/Adventure"",""Fantasy""]","[""Peppermint""]",/shows/fatezero/,fatezero,2011,2011,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",946159,"[""Uncut""]","[""episode""]",1,FZO,Show
Fate/stay night [Unlimited Blade Works],Fate/stay night [Unlimited Blade Works],Fate/stay night [Unlimited Blade Works],true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,false,false,,false,,,,,,"[""Action/Adventure"",""Fantasy""]","[""Aniplex""]",/shows/fatestay-night-unlimited-blade-works/,fatestay-night-unlimited-blade-works,2014,2014,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",949152,"[""Uncut""]","[""episode""]",1,FSN,Show
Fire Force,Fire Force,Fire Force,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,false,false,false,false,false,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""Kodansha""]",/shows/fire-force/,fire-force,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",883775,"[""Uncut"",""Simulcast""]","[""episode""]",1,FRF,Show
First Love Monster,First Love Monster,First Love Monster,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,"[""Comedy"",""Romance""]","[""King Record, Co. LTD.""]",/shows/first-love-monster/,first-love-monster,2016,2016,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|15"",""CRRBR|A14"",""RTC|B15"",""OFLC|PG"",""FVLB|PG""]",138143,"[""Uncut"",""Simulcast""]","[""episode""]",1,FLM,Show
Fractale,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Action/Adventure"",""Sci Fi""]","[""Fuji Creative""]",/shows/fractale/,fractale,2011,2011,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",39260,"[""Simulcast"",""Uncut""]","[""episode""]",1,FRA,Show
Free!,Free!,Free!,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,Sí,Sí,Sí,false,false,false,false,false,,,,,,"[""Drama"",""Fan Service""]","[""Peppermint""]",/shows/free/,free,2013,2013,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",42685,"[""Uncut"",""Simulcast""]","[""episode"",""ova"",""special"",""movie""]",1,FEE,Show
Freezing,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,true,,"[""Action/Adventure"",""Fan Service""]","[""Media Factory""]",/shows/freezing/,freezing,2011,2011,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|R18+"",""FVLB|R16""]",36098,"[""Uncut"",""Simulcast""]","[""episode"",""ova""]",1,FRE,Show
Fruits Basket,Fruits Basket,Fruits Basket,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,false,false,false,false,false,,,,false,true,"[""Shoujo"",""Slice of Life"",""Comedy"",""Drama"",""Fantasy""]","[""TV Tokyo""]",/shows/fruits-basket/,fruits-basket,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""DJCTQ|14""]",825013,"[""Simulcast"",""Uncut""]","[""episode""]",1,FSB,Show
Fruits Basket (2001),Fruits Basket (2001),Fruits Basket (original),true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,,,false,,,,,false,false,"[""Comedy"",""Shoujo""]","[""TV Tokyo Medianet Inc.""]",/shows/fruits-basket-2001/,fruits-basket-2001,2001,2001,"{""quality"":""HD"",""height"":1080}",,"[""RTC|B"",""CRRBR|A12"",""OFLC|PG"",""FVLB|PG""]",59272,"[""Uncut""]","[""episode""]",1,FBK,Show
Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,Sí,Sí,Sí,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Comedy"",""Fantasy""]","[""Animoon""]",/shows/full-dive-this-ultimate-next-gen-full-dive-rpg-is-even-shittier-than-real-life/,full-dive-this-ultimate-next-gen-full-dive-rpg-is-even-shittier-than-real-life,2021,2021,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1398893,"[""Simulcast"",""Uncut""]","[""episode""]",1,UER,Show
Full Metal Panic!,Full Metal Panic!,Full Metal Panic!,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""Kadokawa Pictures""]",/shows/full-metal-panic/,full-metal-panic,2002,2002,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",22327,"[""Uncut"",""Simulcast""]","[""episode""]",1,FMP,Show
Full Metal Panic? Fumoffu,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Action/Adventure"",""Sci Fi""]","[""Kadokawa Pictures""]",/shows/full-metal-panic-fumoffu/,full-metal-panic-fumoffu,2003,2003,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""RTE|GA"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|M"",""FVLB|M""]",30750,"[""Uncut""]","[""episode""]",1,FMF,Show
Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Comedy"",""Drama"",""Fantasy"",""Shounen""]","[""Aniplex Inc""]",/shows/fullmetal-alchemist-brotherhood/,fullmetal-alchemist-brotherhood,2009,2009,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",29716,"[""Uncut""]","[""episode"",""movie""]",1,FMB,Show
Futsal Boys!!!!!,Futsal Boys!!!!!,Futsal Boys!!!!!,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Drama"",""Slice of Life""]","[""Bandai""]",/shows/futsal-boys/,futsal-boys,2022,2022,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",4034185,"[""Simulcast""]","[""episode""]",1,FUT,Show
Fuuka,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Drama"",""Romance""]","[""Dentsu Tec""]",/shows/fuuka/,fuuka,2017,2017,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",261759,"[""Simulcast"",""Uncut""]","[""episode""]",1,FUK,Show
GANGSTA.,Gangsta,Gangsta,true,true,-,-,-,-,Sí,Sí,-,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,true,,"[""Action/Adventure"",""Drama""]","[""Bandai Visual Company""]",/shows/gangsta/,gangsta,2015,2015,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG"",""RTC|C"",""CRRBR|A16"",""OFLC|MA15+"",""FVLB|R16""]",18469,"[""Uncut"",""Simulcast""]","[""episode"",""special""]",1,GNG,Show
GANTZ,,,true,true,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,[],[],/shows/gantz/,gantz,2004,2004,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""CRRBR|A14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",132080,"[""Uncut""]","[""episode"",""movie""]",1,GNT,Show
GARO -VANISHING LINE-,Garo: Vanishing Line,GARO -VANISHING LINE-,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,true,true,false,true,false,false,false,true,true,"[""Action/Adventure""]","[""TFC""]",/shows/garo-vanishing-line-/,garo-vanishing-line-,2017,2017,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CRRBR|A16"",""CBSC|18"",""RTE|MA"",""RTC|C"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|RP16""]",527548,"[""Simulcast"",""Uncut""]","[""episode""]",1,GVL,Show
GARO: CRIMSON MOON,GARO: CRIMSON MOON,GARO: CRIMSON MOON,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,true,true,false,true,,,,true,,"[""Action/Adventure"",""Fantasy""]","[""Tohokushinsha Film Corporation""]",/shows/garo-crimson-moon/,garo-crimson-moon,2015,2015,"{""quality"":""HD"",""height"":1080}",TVMA,"[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""CRRBR|A16""]",91655,"[""Uncut"",""Simulcast""]","[""episode"",""special""]",1,GCM,Show
GOBLIN SLAYER,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,true,true,,true,,,,,,"[""Action/Adventure"",""Fantasy""]","[""Anime Ltd""]",/shows/goblin-slayer/,goblin-slayer,2018,2018,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",595626,"[""Uncut"",""Simulcast""]","[""episode"",""movie""]",1,GSR,Show
GOD MARS,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Sci Fi""]","[""TMS""]",/shows/god-mars/,god-mars,1981,1981,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1691532,"[""Uncut""]","[""episode""]",1,GMA,Show
GOD MAZINGER,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,,,false,,,,false,false,"[""Action/Adventure"",""Fantasy"",""Sci Fi""]","[""TMS Entertainment""]",/shows/god-mazinger-2/,god-mazinger-2,1984,1984,"{""quality"":""HD"",""height"":1080}",TVPG,"[""NCS|PG"",""OFLC|PG"",""TV-US|TV-PG"",""CBSC|PG"",""zw-movies|PG"",""RTE|PG""]",1471841,"[""Uncut""]","[""episode""]",1,GAZ,Show
Ga-Rei-Zero,Ga-Rei-Zero,Ga-Rei-Zero,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,false,true,true,false,true,false,false,false,true,,"[""Action/Adventure"",""Drama""]","[""Kadokawa Pictures""]",/shows/ga-rei-zero/,ga-rei-zero,2008,2008,"{""quality"":""HD"",""height"":1080}",TVMA,"[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""CRRBR|A16""]",37933,"[""Uncut""]","[""episode""]",1,GAI,Show
Gad Guard,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""GDH GONZO DIGIMATION""]",/shows/gad-guard/,gad-guard,2003,2003,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""RTE|GA"",""TV-US|TV-PG"",""zw-movies|PG""]",75291,"[""Uncut""]","[""episode""]",1,GAD,Show
Gakuen Alice,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Comedy""]","[""Right Stuf""]",/shows/gakuen-alice/,gakuen-alice,2004,2004,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1686708,"[""Uncut""]","[""episode""]",1,GAA,Show
Gal & Dino,Gal & Dino,Gal & Dino,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,true,"[""Comedy"",""Slice of Life""]","[""King Records""]",/shows/gal-dino/,gal-dino,2020,2020,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1072804,"[""Simulcast""]","[""episode""]",1,GDO,Show
Galaxy Angel,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,false,,,,,,"[""Comedy"",""Action/Adventure""]","[""Right Stuf, Inc""]",/shows/galaxy-angel/,galaxy-angel,2001,2001,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14""]",1058873,"[""Uncut""]","[""episode"",""ova""]",1,GXA,Show
Gamers!,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Comedy"",""Romance"",""Slice of Life""]","[""NBC Universal""]",/shows/gamers/,gamers,2017,2017,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",500063,"[""Simulcast"",""Uncut""]","[""episode""]",1,GMS,Show
Gekidol,Gekidol,Gekidol,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Sci Fi"",""Drama""]","[""Happinet""]",/shows/gekidol/,gekidol,2021,2021,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1317203,"[""Simulcast"",""Uncut""]","[""episode"",""ova""]",1,GKD,Show
Genocidal Organ,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,"[""Action/Adventure"",""Psychological"",""Sci Fi""]","[""Fuji Creative""]",/shows/genocidal-organ/,genocidal-organ,2017,2017,"{""quality"":""HD"",""height"":1080}",,[],516546,"[""Uncut""]","[""movie""]",1,GOR,Show
Genshiken Second Generation,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Slice of Life"",""Comedy""]","[""NIS America Inc""]",/shows/genshiken-second-generation/,genshiken-second-generation,2013,2013,"{""quality"":""HD"",""height"":1080}",TV14,"[""NCS|M"",""OFLC|M"",""TV-US|TV-14"",""CBSC|14"",""zw-movies|15"",""RTE|PS""]",1407267,"[""Uncut""]","[""episode""]",1,GEN,Show
